path,bytes,sha256,reference_status,consumers,dimensions,provenance
ios/Nudge/Assets.xcassets/AppIcon.appiconset/icon.png,1582956,3a57f3f8908c5161e80c3554a16a63db8447ab4a524536b7350493943c7cad21,source token matches,ios/Nudge/Views/Components/GlassSurface.swift; ios/Nudge/Views/Components/NudgeDock.swift; web/src/privia/ui.tsx; web/src/privia/Workspaces.tsx; web/src/privia/PriviaApp.tsx; web/src/sano/ui/Glass.tsx; web/src/sano/screens/Onboarding.tsx; web/src/components/ui/button.tsx; web/src/components/ui/carousel.tsx; web/src/components/ui/chart.tsx; web/src/components/ui/pagination.tsx; web/src/components/ui/sidebar.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/belly_stomach_relief.imageset/belly_stomach_relief.png,1395612,a2ca867dec1b720b1fbf788755e294fc65c888b9b91f08406e3b4e6c9d5bc896,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/blister_pack_tablets.imageset/blister_pack_tablets.png,1414865,aebc80f78d571bb35636af055ef89fb2e930034c70f0da91191605a73c3a9592,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/broom_dustpan.imageset/broom_dustpan.png,1412060,5fd3365dd168a5a65481088ba9af77cacfb61d2cd06875d77df9619b48288c6b,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/calendar_heart_stethoscope.imageset/calendar_heart_stethoscope.png,1482912,7e03ae58e7b470f66a82d985ae2b9b4938897bd91f57e2c9550b89e8ef3980d7,no static token match; dynamic/persisted references may exist,,766x777 RGBA,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/ceramic_bowl_glow.imageset/ceramic_bowl_glow.png,1312270,607f4d47c80a51c3eee401ccd579cb182439f0f72ae16dfb5957197aa5ec7a76,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_bicycle.imageset/clay_bicycle.png,1533634,458c83147b0ea08e079b906820836d59f912a24ee00a306ed0ded4d5dafec004,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_dumbbells.imageset/clay_dumbbells.png,1421268,a422a3abc5895c73670b48a1f9f4e3cdefad8677a41f1f7f09916d985bfa04dd,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_figure_dancing.imageset/clay_figure_dancing.png,1578049,af495d4248bf61ccc30b466eacf66d01f82175c939e36597049a467fda198e99,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_figure_stretching.imageset/clay_figure_stretching.png,1441405,b98c591b762754405e434423d0abd9835ae85410240c8275cb4639e80c1224a1,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_figure_tai_chi.imageset/clay_figure_tai_chi.png,1347965,34a6594372a628ac82805089e685778e579bf474803553628afd2fb56ca9ad80,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_head_silhouette_glow.imageset/clay_head_silhouette_glow.png,1270435,cca4923a2c59b808da68690eca67bad8b927fc6b607bf5a65a53f7f7f10c35fd,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_stairs_glow.imageset/clay_stairs_glow.png,1495119,90119d92dfa5264a5494a6bafb33b0faf74880f57bbddeb15a8f1caf0f56d4df,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/clay_treadmill.imageset/clay_treadmill.png,1309752,9116a5bf9bebe8474b8a76ef700551ba0b4f15a06e8c211b168e614d3a0c7ef7,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/condition_chemo.imageset/condition_chemo.jpg,192224,ccf84725e34ca9403145bd68fa57da795bfdee110fe643b21100fde5e1dbb9d7,source token matches,ios/Nudge/Models/PersonaFixtures.swift; web/src/sano/fixtures.ts; web/src/sano/screens/Onboarding.tsx,1536x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/condition_diabetes.imageset/condition_diabetes.jpg,146772,043959ba073bc715aa9fffe6dd3af4c5871c3741601f8f2d972920c1d08f31b4,source token matches,ios/Nudge/Models/PersonaFixtures.swift; web/src/sano/fixtures.ts; web/src/sano/screens/Onboarding.tsx,1536x1024 RGB,Not established by packaging; see handoff family notes
